MIRA SN,PROBE IP,SUBNET MASK,GATEWAY,,,Central  0 IP,Central  0 SNTP,Global NTP List,New Updater IP
30528,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30529,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30530,10.107.73.80,255.255.254.0,10.107.72.1,,,,,,
30531,10.107.39.80,255.255.254.0,10.107.38.1,,,,,,
30535,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30536,10.219.8.80,255.255.254.0,10.219.8.1,,,,,,
30539,10.219.64.80,255.255.254.0,10.219.64.1,,,,,,
30540,10.59.58.80,255.255.254.0,10.59.58.1,,,,,,
30541,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30542,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30544,10.59.46.80,255.255.254.0,10.59.46.1,,,,,,
30545,10.139.44.80,255.255.254.0,10.139.44.1,,,,,,
30546,10.139.124.80,255.255.254.0,10.139.124.1,,,,,,
30547,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30548,10.43.20.80,255.255.254.0,10.43.20.1,,,,,,
30549,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30550,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30551,10.27.12.80,255.255.254.0,10.27.12.1,,,,,,
30554,10.27.20.80,255.255.254.0,10.27.20.1,,,,,,
30555,10.219.6.80,255.255.0.0,10.219.6.1,,,,,,
30556,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30557,10.19.60.80,255.255.254.0,10.19.60.1,,,,,,
30558,10.235.100.80,255.255.254.0,10.235.100.1,,,,,,
30559,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30560,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30561,10.139.70.80,255.255.254.0,10.139.70.1,,,,,,
30562,10.27.26.80,255.255.254.0,10.27.26.1,,,,,,
30563,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30564,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30565,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30566,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30570,10.227.72.80,255.255.254.0,10.227.72.1,,,,,,
30573,10.19.62.80,255.255.254.0,10.19.62.1,,,,,,
30580,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30581,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30582,10.219.100.80,255.255.254.0,10.219.100.1,,,,,,
30583,10.59.14.80,255.255.254.0,10.59.14.1,,,,,,
30585,10.139.66.80,255.255.254.0,10.139.66.1,,,,,,
30586,10.219.68.80,255.255.254.0,10.219.68.1,,,,,,
30587,10.19.44.80,255.255.254.0,10.19.44.1,,,,,,
30588,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30590,10.51.52.80,255.255.254.0,10.51.52.1,,,,,,
30591,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30592,10.27.96.80,255.255.254.0,10.27.96.1,,,,,,
30593,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30594,10.43.16.80,255.255.254.0,10.43.16.1,,,,,,
30595,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30597,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30598,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30599,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30600,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30601,10.67.6.80,255.255.254.0,10.67.6.1,,,,,,
30602,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30604,10.219.112.80,255.255.254.0,10.219.112.1,,,,,,
30606,10.227.64.80,255.255.254.0,10.227.64.1,,,,,,
30608,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30609,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30610,10.27.10.80,255.255.254.0,10.27.10.1,,,,,,
30611,10.139.108.80,255.255.254.0,10.139.108.1,,,,,,
30612,10.43.42.80,255.255.254.0,10.43.42.1,,,,,,
30614,10.59.2.80,255.255.254.0,10.59.2.1,,,,,,
30615,10.139.46.80,255.255.254.0,10.139.46.1,,,,,,
30616,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30617,192.168.2.81,255.255.0.0,192.168.0.1,,,,,,
30618,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
30619,10.219.12.80,255.255.254.0,10.219.12.1,,,,,,
30620,192.168.2.80,255.255.0.0,192.168.0.1,,,,,,
